filename	M00001	M00002	M00003	M00004	M00005	M00006	M00007	M00008	M00009	M00010	M00011	M00012	M00015	M00016	M00017	M00018	M00019	M00020	M00021	M00022	M00023	M00024	M00025	M00026	M00027	M00028	M00029	M00033	M00035	M00036	M00038	M00044	M00045	M00046	M00048	M00049	M00050	M00051	M00052	M00053	M00060	M00061	M00063	M00064	M00086	M00087	M00088	M00089	M00091	M00093	M00096	M00097	M00112	M00115	M00116	M00117	M00118	M00119	M00120	M00121	M00122	M00123	M00124	M00125	M00126	M00127	M00133	M00134	M00135	M00136	M00140	M00145	M00149	M00150	M00151	M00153	M00155	M00156	M00157	M00161	M00162	M00163	M00165	M00166	M00167	M00172	M00175	M00176	M00178	M00183	M00185	M00186	M00188	M00189	M00190	M00191	M00192	M00193	M00194	M00196	M00198	M00200	M00201	M00204	M00205	M00206	M00207	M00208	M00209	M00210	M00211	M00212	M00213	M00214	M00215	M00216	M00218	M00220	M00221	M00222	M00223	M00225	M00226	M00230	M00232	M00233	M00234	M00235	M00236	M00237	M00238	M00239	M00240	M00241	M00242	M00244	M00245	M00246	M00247	M00249	M00250	M00251	M00252	M00253	M00254	M00255	M00256	M00258	M00259	M00260	M00268	M00273	M00275	M00276	M00279	M00283	M00299	M00300	M00302	M00303	M00307	M00308	M00316	M00317	M00319	M00320	M00323	M00324	M00330	M00331	M00332	M00333	M00334	M00335	M00336	M00338	M00339	M00342	M00343	M00344	M00345	M00348	M00349	M00359	M00360	M00361	M00362	M00364	M00365	M00373	M00378	M00394	M00417	M00432	M00434	M00435	M00436	M00438	M00439	M00442	M00443	M00444	M00445	M00446	M00447	M00449	M00450	M00452	M00453	M00454	M00455	M00456	M00457	M00459	M00460	M00461	M00465	M00467	M00471	M00472	M00473	M00474	M00475	M00477	M00479	M00481	M00486	M00491	M00493	M00497	M00498	M00501	M00502	M00504	M00506	M00507	M00509	M00511	M00512	M00513	M00514	M00515	M00519	M00520	M00523	M00524	M00526	M00527	M00529	M00530	M00531	M00533	M00535	M00546	M00548	M00549	M00550	M00551	M00552	M00554	M00555	M00565	M00568	M00569	M00570	M00572	M00573	M00577	M00579	M00581	M00582	M00586	M00590	M00593	M00595	M00596	M00597	M00600	M00601	M00603	M00605	M00607	M00627	M00628	M00631	M00632	M00637	M00643	M00645	M00646	M00647	M00648	M00649	M00655	M00668	M00669	M00670	M00707	M00709	M00711	M00720	M00724	M00727	M00728	M00729	M00739	M00741	M00742	M00743	M00744	M00754	M00762	M00770	M00793	M00820	M00824	M00839	M00842	M00843	M00844	M00846	M00854	M00855	M00865	M00866	M00868	M00878	M00879	M00880	X2.A.88.1.6	X3.A.1.19.1	X3.A.1.14.24	X3.A.1.14.15	X3.A.1.14.23	X3.A.1.13.1	X4.B.1.1.4	X2.A.7.3.39	X9.A.23.1.1	X3.A.1.25.2	X2.A.88.1.5	X2.A.1.82.4	X3.A.1.21.1	X3.A.1.14.1	X3.A.1.25.1	X3.A.1.25.5	X3.A.1.14.4	X2.A.1.38.2	X3.A.1.17.8	X3.A.1.13.2	X2.A.1.2.84	X2.A.88.1.4	X2.A.1.57.4	X2.A.7.3.40	X3.A.1.14.26	X3.A.1.132.11	arylpolyene	betalactone	ectoine	bacteriocin	NRPS	terpene	NRPS.like	T3PKS	hserlactone	siderophore	T1PKS	NAGGN	lanthipeptide	butyrolactone	pvuABCDE	pvsABCDE	Auxin.TAM	Auxin.Ipyr	Auxin.IAN	Auxin.IAM	DMSP_demethylation	DMSP_cleavage	DHPS_catabolism	Taurine_in_TCA
2228664052	0	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0
2236347022	0	1	1	0	1	1	1	0	0	1	0	1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1
2236661011	0	0	0	0	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0
2501651206	1	1	1	0	1	0	1	0	0	1	1	0	1	1	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	0	1	1	0	1	1	0	0	0	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0
2501651207	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	0	0	0	1	0	0	0	1	1	1	1	1	0	0	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2501651208	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	1	1	1	1	1	0	0	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	1	0	1	1	1	1	0	1	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	0	1	0	0	0	1	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0
2501651209	1	1	1	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	1	1	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
2501651210	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	1	0	0	0	1	1	0	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
2503113005	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0
2503283009	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	1	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
